S1_time,S1_IBI,S2_time,S2_IBI,S3_time,S3_IBI,S4_time,S4_IBI,S5_time,S5_IBI,S6_time,S6_IBI,S7_time,S7_IBI,S8_time,S8_IBI,S9_time,S9_IBI,S10_time,S10_IBI
149.709978,0.468771,132.896708,0.43752,2300.605309,0.640654,2081.267144,0.687531,886.10306,0.593777,291.825858,0.406269,111.395724,0.421894,930.042572,0.406269,401.580883,0.578151,1730.688595,0.687531
150.194375,0.484397,133.334229,0.43752,2301.245964,0.640654,2081.970301,0.703157,886.696838,0.593777,292.29463,0.468771,114.03647,0.500023,1099.847219,0.484397,558.697449,0.43752,1731.407378,0.718783
150.647521,0.453146,133.787374,0.453146,2301.870992,0.625029,2082.657833,0.687531,887.321866,0.625029,292.716524,0.421894,114.427113,0.390643,1449.253838,0.578151,559.088092,0.390643,1732.09491,0.687531
151.131918,0.484397,134.224894,0.43752,2302.496021,0.625029,2083.345364,0.687531,887.900018,0.578151,293.16967,0.453146,114.817755,0.390643,1449.956995,0.703157,559.416232,0.32814,1732.673061,0.578151
151.600689,0.468771,134.662414,0.43752,2380.858983,0.687531,2084.032896,0.687531,888.462543,0.562526,293.60719,0.43752,127.224573,0.390643,1450.48827,0.531274,561.635084,0.421894,1733.329341,0.65628
152.085087,0.484397,135.11556,0.453146,2403.125627,0.703157,2084.751678,0.718783,892.743989,0.593777,294.075961,0.468771,131.427891,0.453146,1451.097672,0.609403,562.025727,0.390643,1733.969995,0.640654
152.538232,0.453146,135.537454,0.421894,2403.781907,0.65628,2085.470461,0.718783,896.962933,0.578151,294.529107,0.453146,131.818534,0.390643,1451.566444,0.468771,567.291593,0.421894,1734.61065,0.640654
153.022629,0.484397,135.959349,0.421894,2404.406936,0.625029,2097.049116,0.76566,897.525458,0.562526,294.997878,0.468771,132.256054,0.43752,4886.989324,0.703157,567.760364,0.468771,1735.26693,0.65628
153.491401,0.468771,136.443746,0.484397,2405.078841,0.671906,2107.518346,0.718783,898.134861,0.609403,295.435398,0.43752,132.662322,0.406269,4887.567475,0.578151,568.166633,0.406269,1735.938836,0.671906
153.975798,0.484397,136.912517,0.468771,2414.954293,0.671906,2108.205877,0.687531,898.619258,0.484397,295.90417,0.468771,133.115468,0.453146,4888.161252,0.593777,568.666656,0.500023,1736.626367,0.687531
